商品名,企業名,価格,評価,評価数,サクラ評価,商品説明
4Kデジタルカメラ デジカメ 4K動画撮影 6400万画素コンパクトオートフォーカス 近接撮影 3.0インチ大画面 2つの1200mAh電池 軽量 修学旅行 学生 初心者 セット 32GB Micro SDカード付属 ブラック,Keculbo,"11,499",4.8,52,1.87,"
【鮮明で詳細な6400万画素】 この4Kデジタルカメラは6400万画素の優れた高画質CMOSセンサーを搭載しており、細部豊かで鮮やかな写真を撮影することができます。よりリアルにし、細部までこだわった表現が可能となり、驚くべき視覚体験を提供します。「M」ボタンを押すと、カメラモードからビデオモードに変更できます。高画質ともに、4kの動画解像度も、写真やVlogにクリアな画面が残ります。
【初心者向け/操作簡単なデジカメ】操作し易いボタン設置の上、日本語含め取扱説明書+日本語メニュー付き、初めてデジタルカメラを利用する方にも優しい。ワイトバランス/フラッシュ/オート感光/美顔モード/ループ録画/自動オフなど機能が搭載、コスパ絶好の価格でプロのカムコーダーを体験。初心者向けのデジタルカメラです。子供から学生、大人、女性、高齢者まで、誰でも簡単に使え、撮りたい時はすぐ撮れます。
【Webカメラ&長時間録画】このコンパクトカメラ／ブログカメラは付属のTYPE-C ケーブルを使ってパソコンに接続が可能です。またモード切替で""PC CAM"" を選択するとウェブカメラとしても使用でき、ビデオチャットやリアルタイムのライブストリーミング撮影もお楽しみいただけます。さらにこのデジカメは2つ1200ｍAhのリチウムイオン充電式バッテリー付き、充電しながらも利用可能です。充電不足で撮影できないなどということがありません。
【多機能デジタルカメラ】連写機能により、ワンクリックで3枚の写真を連続撮影でき、お好みの写真を選択できます。 このデジカメには3つのフォーカスモードがあります：オートフォーカス/マニュアルフォーカスモード/固定フォーカス。シャッタースピードやISO絞りなどの複雑な調整は不要、必要なフォーカスモードも選べるのでとても便利です。 18倍デジタルズームもあり、写真を拡大したり、キャプチャしたい詳細にズームしたりでき、蝶、花、昆虫、その他のマクロ写真が撮影できます。 3.0インチ液晶大画面付き、更に画面部分は180度回転でき、リアルタイムに画面を確認でき、好きな角度で自撮りするのに便利です。 これらの機能を使って、素敵な写真をより魅力的に仕上げましょう。
【持ち運び易い/コンパクトなデジカメ】機能満載なのにわずか115mmX80mmX47mmのコンパクトサイズ。家族写真、運動会、忘年会、卒業式、旅行、イベント、いろいろな場合で大活躍。ご使用になる前に、ちゃんと説明書を読んでください。 1年保証がついています。ご質問がございます場合は、お気軽くに「注文履歴」の「出品者に連絡」からご連絡ください。
"
KODAK (コダック) PIXPRO 使いやすい ズーム FZ55-BK 16MP デジタルカメラ 光学5倍ズーム 広角 28mm 2.7インチ液晶画面 (ブラック),KODAK,"23,800",4.1,835,1.59,"
パワフルな16.1メガピクセルのCCDセンサーを搭載しているため、現実に近い鮮明度や品質のまま、納得のいくまで範囲を広げたり拡大したりトリミングしたりすることが可能です。
28mmの広角レンズでは、撮影位置をもっと後ろに変えなくても、さらに撮影範囲を広げたり、さらに被写体に焦点を当てたりすることができます。
パン撮りモードを使用すると、被写体が動いていても、被写体をはっきりと撮影することができます。多数の他のシーンモードでは、最適な設定にして、露出を上げてどのような状況でも素晴らしい写真を撮影することが可能です。
顔の検出や自動露出では、顔の特徴を検出して引き立て、実際通りの被写体を目立たせます。 瞬きや笑顔の検出では、瞬きや笑顔の瞬間を捉えることができます。
赤目除去を使って、すぐに写真を修正して変えることができます。 HDR(ハイダイナミックレンジ)修正ツールを使って、露出を調節して、明るいシーンでも暗いシーンでもさらに細かいものまで写し出すことができます。
"
Nsoela デジタルカメラ デジカメ 32GBマイクロSDカード付き キッズカメラ 子供用カメラ FHD 1080P 44MP コンパクトvlogカメラ 16倍デジタルズーム 軽量 携帯便利 ミニカメラ 小型カメラ 初学者カメラ ポケットカメラ キッズ/子供向け 入学式 入園式 子供の日 卒業式 クリスマス 新年 (黒+32GBマイクロSDカード付き),Nsoela,"4,959",4.0,"1,076",1.56,"
【1080P録画&44MP写真撮影】本子供用デジタルカメラは、FHD1080Pビデオ解像度と44MPピクセルを持ち、エキサイティングな瞬間と貴重な思い出をキャプチャすることができます。十代の若者に向けデザインされたデジタルカメラは16倍デジタルズームをサポートされています。子供達自分の視点で素敵な世界を気軽に探検し、観察力を養い、周りの美しい瞬間を記録しておきましょう。ご注意：本製品は最大32GBまでのMicro SDカードを対応しております。でないと、フリーズになって固まっていて使用できなくなって、自動的に電源オフなど不良になる可能性もございます。
【20種類カラーフィルター＆内蔵LEDライト】本初心者デジカメが20種類のカラーフィルターがあり、子供たちはカメラレンズでカラフルな世界を観察することができ、想像力と創造力を発揮して撮影した写真をより美しく芸術的にすることができます。小型コンデジには顔検出機能も、笑顔をキャプチャーすることができ、楽しい瞬間を簡単に記録できます。内蔵のLEDライトは、昼も夜も高精細で繊細な写真を撮るのに役立ちます。
【多機能カメラ＆ウェブカメラ】単に写真撮影や動画撮影という機能だけでなく、連続撮影、2s/5s/10sセルフタイマー、マイクと手ぶれ防止機能も内蔵し、日付スタンプなどもありますので、鮮やかな写真やビデオを簡単に撮れます。また、専用usbケーブルが装備されており、ビデオ通話やライブ放送のためにコンピュータに接続してウェブカメラとして使用することができます。一時停止機能を使用すると、vlogの録画または再生中に一時停止することができ、ビデオ編集の時間を節約できます。
【使いやすい&持ち運びに便利】子供向けにデザインされた小型コンパクトデジタルカメラは、非常に軽量でサイズが小さくてポケットに入れやすく、日常の使用はもちろん、旅行時にも持ち運びに便利です。いつでもどこでも幸せな瞬間を捉えることができます。キッズカメラは2.4インチIPSスクリーンで設計されており、より豊かな色でより自然な画像を表示することができ、子供の目をよく保護することもできます。また、操作が簡単で、写真を撮る前に複雑なプログラムを選択する必要はありません。ボタンを押すだけで素晴らしい瞬間をキャプチャすることができます。
【パッケージ内容】2つの充電式リチウム電池が装備されており、1 ~ 3 ~ 5分で自動的にシャットダウンすることが設定でき、外出でも安心できます。付属の収納袋とストラップは、うっかりして紛失することを防止し、カメラをよく保護することができます。誕生日、クリスマス、感謝祭の日にも非常に人気があり、10代、子供、学生、男の子、女の子へぴったりー、あなたとご家族の美しいクリスマスの瞬間を記録します。パッケージ内容: デジタルカメラx1、充電式リチウムイオンバッテリー×2、32G TFカード（Micro SDカード）×1、USBケーブル×1、ユーザーマニュアル×1、カメラバッグ×1、ストラップ×1。ご注文日から12ヶ月の間、ご使用いただいている製品に不具合と思われる事象が生じた場合、お気軽にお問い合わせください。
"
CAMKORY デジタルカメラ デジカメ 4400万画素 1080P動画撮影 オートフォーカス 近接撮影 手ブレ補正 2.4インチ大画面 予備電池 軽量 修学旅行 学生 初心者 セット 32gカード付属 黒,CAMKORY,"6,699",3.8,"3,362",1.52,"
【4400万画素：鮮明で詳細】 このデジタルカメラは4400万画素の優れた高画質CMOSセンサーを搭載しており、細部豊かで鮮やかな写真を撮影することができます。高解像度の画像は、パソコンもスマホのディスプレイでも鮮明さを保ちます。風景、人物、静物など、あらゆる被写体を素晴らしい画質で表現できます。よりリアルにし、細部までこだわった表現が可能となり、驚くべき視覚体験を提供します。高画質ともに、1080pの動画解像度も、自撮りやVlogにクリアな動画が残ります。
【お手頃デジカメ】9.2*5.7*2.3cmの 手のひらサイズ、そして112gの重さもスマホの半分以下重量です。これはスマホの半分にも満たないデジカメです。【使用時間が長いカメラ】2つ700ｍAhのリチウムイオン充電式バッテリー付き、共に180分の録画時間を提供しています。充電しながらも利用可能です。
【オートフォーカス機能】弊社最新のオートフォーカス機能：シャッタースピードやISO絞りなどの複雑な調整は不要、半押しだけて、4cmまでのところがフォーカスできて、蝶、花、昆虫、その他のマクロ写真が撮影できます。旅行も自撮り写真をいっぱい残ります。初心者向けのデジタルカメラです。子供から学生、大人、女性、高齢者まで、誰でも簡単に使え、撮りたい時はすぐ撮れます。
【フィルター付きデジカメ】このデジタルカメラには美肌効果やフィルター機能が搭載されており、撮影後に簡単に写真を加工することができます。美肌効果を使えば、肌の凹凸を自然に滑らかになります。 また、様々なフィルターを適用することで、写真やビデオに特別な雰囲気や表現を加えることができます。これらの機能を使って、素敵な写真をより魅力的に仕上げましょう。【多機能デジカメ】他の機能：手振れ補正「写真」、顔認証「人の顔を検出」、笑顔キャッチャー「スマイルと自動的に写真を撮る」、連続撮影「3枚連続撮る」、美顔「動画も対応！肌を綺麗に見える」、多種類のフィルター「違い雰囲気を作り出す」、ウェブカメラ機能が搭載されて、豊かな選択で初心者でもカメラ世界の魅力を感じられます。子供の育ちにも、観察力や表現力が鍛えられ、美意識も向上します。
【付属品】4400万画素カメラｘ1台、充電式電池ｘ2枚、32gMicroSDカードｘ1枚、USB Ｃ充電ケーブルｘ1本、収納袋ｘ1枚、ストラップｘ1本、取り扱い説明書ｘ1枚。1年保証がついています。ご質問がございます場合は、お気軽くに「注文履歴」の「出品者に連絡」からご連絡ください。
"
CAMKORY 4K デジカメ デジタルカメラ オートフォーカス 4800万画素 4K解像度 近接撮影 16倍デジタルズーム 2.8インチ大画面 予備電池 軽量 修学旅行 学生 初心者 ホワイト,CAMKORY,"8,999",4.8,49,1.76,"
【4800万画素：鮮明で詳細】 このデジタルカメラは4800万画素の優れた高画質CMOSセンサーを搭載しており、細部豊かで鮮やかな写真を撮影することができます。高解像度の画像は、パソコンもスマホのディスプレイでも鮮明さを保ちます。風景、人物、静物など、あらゆる被写体を素晴らしい画質で表現できます。よりリアルにし、細部までこだわった表現が可能となり、驚くべき視覚体験を提供します。高画質ともに、4Kの高動画解像度も、自撮りやVlogにクリアな動画が残ります。
【4K高解像度】4KUHD超高解像度ビデオ撮影をサポートし、臨場感あふれる映像を実現します。軽量ボディと多機能設計で、プロフェッショナルな撮影体験をお届けします。
【お手頃デジカメ】9.4*5.5*2.2cmcmの手のひらサイズ、そして120gの重さもスマホの半分以下重量です。これはスマホの半分にも満たないデジカメです。
【使用時間が長いカメラ】2つ700ｍAhのリチウムイオン充電式バッテリー付き、共に180分の録画時間を提供しています。充電しながらも利用可能です。
【オートフォーカス機能】弊社最新のオートフォーカス機能：シャッタースピードやISO絞りなどの複雑な調整は不要、半押しだけて、3cmまでのところがフォーカスできて、蝶、花、昆虫、その他のマクロ写真が撮影できます。旅行も自撮り写真をいっぱい残ります。初心者向けのデジタルカメラです。子供から学生、大人、女性、高齢者まで、誰でも簡単に使え、撮りたい時はすぐ撮れます。
【フィルター付きデジカメ】このデジタルカメラには美肌効果やフィルター機能が搭載されており、撮影後に簡単に写真を加工することができます。美肌効果を使えば、肌の凹凸を自然に滑らかになります。 また、20種類フィルターを適用することで、写真やビデオに特別な雰囲気や表現を加えることができます。これらの機能を使って、素敵な写真をより魅力的に仕上げましょう。
【多機能デジカメ】他の機能：手振れ補正「写真」、顔認証「人の顔を検出」、笑顔キャッチャー「スマイルと自動的に写真を撮る」、連続撮影「3枚連続撮る」、美顔「動画も対応！肌を綺麗に見える」、20種類のフィルター「違い雰囲気を作り出す」、ウェブカメラ機能が搭載されて、豊かな選択で初心者でもカメラ世界の魅力を感じられます。子供の育ちにも、観察力や表現力が鍛えられ、美意識も向上します。
【付属品】4800万画素4Kカメラｘ1台、充電式電池ｘ2枚、32gMicroSDカードｘ1枚、USB Ｃ充電ケーブルｘ1本、収納袋ｘ1枚、ストラップｘ1本、取り扱い説明書ｘ1枚。ご質問がございます場合は、お気軽くに「注文履歴」の「出品者に連絡」からご連絡ください。
"
デジカメ4Kデジタルカメラ コンパクトカメラ 30FPS 44MP YouTubeカメラAFオートフォーカス 2.4インチ 充電式 16倍デジタルズーム 初心者向けクリスマスポケットカメラ子供用誕生日 軽量 携帯便利 日本語説明書 予備バッテリー付き4400万画素数 ブラック,Keculbo,"5,680",4.2,151,1.71,"
【4400万画素&4Kビデオ録画】このデジタルカメラは最大4400万ピクセルで、44MPの画像解像度と4Ｋのビデオ解像度をサポートし、優れた録画と撮影性能を発揮します。このカメラ コンパクトは 16 倍デジタル ズームをサポートし、+/- ボタンを使用して画像をズームインまたはズームアウトできます。 2.4インチのディスプレイ画面により、写真を簡単に表示でき、どこでも写真やビデオの撮影を楽しむことができます。 (使用する前に別売りのTFカード（Micro SDカード）をフォーマットする必要があることをご注意ください。また、本製品は最大128GBまでのMicro SDカードを対応しかできません。）
【AFオートフォーカス機能&フィルライト】このデジタルカメラ4KはAFオートフォーカス機能を搭載しております。シンプルな操作で自動的にピントを合わせて、初心者でも鮮明的に写真を撮ることができます。（シャッターボタンを浅い押してピントをあわせます。更に深く押して撮影できます）。フィルライトが内蔵されており、シーンに応じてオンとオフを切り替え、暗い場所でも撮れます。ミニデジカメとはいえ、自撮り/連続撮影/セルフタイマー/一時停止など、他にもたくさんの機能があります。デジタルカメラからデジカメの第一歩を踏み出し、人生のいろいろな瞬間を記録し始めよう。クリスマス、誕生日など特別な日に、友人や家族へのプレゼントにも最適です。通常、製品は 3 ～ 5 メートル以内の音のみを読み取ることができます
[ウェブカメラ+一時停止機能]この4Kデジタルカメラは、付属のTYPE-Cケーブルを介してWebカメラとしてコンピューターに接続でき（Mac / Windows OS対応）、ビデオ通話やライブブロードキャストを開始するために使用できます。ソーシャル、メディアでコンテンツを共有します。この YouTube カメラは一時停止機能をサポートしています。デジカメの「写真」ボタンを押すだけで、録画を一時停止または再開できます。USB2.0インターフェースを経由し同梱のTYPE-Cケーブルを繋ぎ、直接充電できるだけでなく、写真やビデオをカメラからコンピューターに簡単に転送し、YOUTUBEなどのソーシャルメディアで共有したりすることもできます。
[多機能のデジカメ+予備バッテリー]このデジカメ4ｋはたくさん機能があります。例えば：オートフォーカス、連続撮影、一時停止、スローモーション、多言語対応、フラッシュライト内蔵などです。付属のストラップで手に持って、あるいはポケットに入れて持って行けるので、旅行をする時などにとても便利です。このVloggingカメラには、充電中の録画をサポートする充電式1200 mAhリチウムイオンバッテリーが2つ付属しています。これにより、長時間の使用に大きな利便性がもたらされます。バッテリー切れによる中断を心配することなく、録音、ライブ、またはビデオ通話を行うことができます。
【使いやすく、軽量、持ち運びに便利】直感的なボタンと操作しやすい配置で、子供でも、4Kデジタルカメラの初心者でもすぐに使いこなします。シンプルで優しい。日本語取扱説明書以外に、日本語メニューももちろん内蔵しております。コンパクトなデジタルカメラなので、ストラップやポケットに入れて持ち運べ、旅行に便利です。幸せな瞬間をすべてキャプチャし、美しい瞬間を見逃げさなく記録します。弊店のデジタルカメラは、ご購入後12ヶ月のメーカー保証が付いております。商品の品質には万全を期しておりますが、万が一商品に不具合があった場合やご満足いただけなかった場合はお手数お掛けしますが、注文番号を添えてアマゾンの購入履歴より弊社までご連絡ください。営業日24時間以内に対応をしております。
"
デジタルカメラ デジカメ 6400万画素 4K動画撮影 オートフォーカス 近接撮影 2.8インチ大画面 予備電池 軽量 修学旅行 学生 初心者 セット 32GBメモリーカード付属 黒,ブランド: OIKSPY,"5,599",3.4,25,2.38,"
このデジタルカメラは、ソニーのCMOSセンサーを採用しており、最大6400万画素、64MPの画像解像度と4Kのビデオ解像度をサポートしており、優れた録画と撮影性能を実現しています。このコンパクトなカメラは、18倍のデジタルズームをサポートしており、W/Tボタンを使用して画像を拡大または縮小することができます。2.8インチのディスプレイで、いつでもどこでも写真を簡単に確認し、写真やビデオの撮影を楽しむことができます。
【オートフォーカス機能】 シャッタースピードやISO感度、絞りなどの複雑な調整は必要ありません。半押しするだけで、最大4cmまでの被写体をピント合わせすることができます。蝶、花、昆虫などのマクロ写真を撮影することができます。また、旅行中や自撮り写真にもたくさん活用できます。初心者向けのデジタルカメラで、子供から学生、大人、女性、高齢者まで、誰でも簡単に使えます。思い立った時にすぐに写真を撮ることができます。
【18倍ズーム&2.8インチIPSスクリーン】このコンパクトカメラには18倍デジタルズームと内蔵フラッシュライトが装備されており、W/T ボタンを使用して撮影した画像をズームインする機能があり、遠くの物体を簡単に見ることができます。この vlogカメラは 2.8インチ IPS LCD スクリーンを採用しています。クリアで高画質の写真/ビデオを撮影できます。 2 つの充電式バッテリーが付属しています。箱から出してすぐに使えます。
【持ち運びに便利】軽量設計と小型サイズにより、ビデオカメラは持ち運びに便利で、いつでもどこでも幸せな瞬間を捉えることができます。このポケットカメラは、旅行や日常の使用に最適で、誕生日、クリスマス、感謝祭の日のギフトにも非常に人気があり、10代、子供、学生、男の子、女の子へのギフトとして、あなたとご家族の美しいクリスマスの瞬間を記録します。
【フィルター付きデジカメ】このデジタルカメラには美肌効果やフィルター機能が搭載されており、撮影後に簡単に写真を加工することができます。美肌効果を使えば、肌の凹凸を自然に滑らかになります。 また、様々なフィルターを適用することで、写真やビデオに特別な雰囲気や表現を加えることができます。これらの機能を使って、素敵な写真をより魅力的に仕上げましょう。
【パッケージ内容】カメラｘ1台、充電式電池ｘ2枚、32GBメモリーカードｘ1枚、USB Ｃ充電ケーブルｘ1本、ストラップｘ1本、取り扱い説明書ｘ1枚。1年保証がついています。ご質問がございます場合は、お気軽くに「注文履歴」の「出品者に連絡」からご連絡ください。
【充電方法】：バッテリーを本体に入れ、付属のケーブルを本体に接続し、もう一方の端を5V1Aのアダプターに接続します。これでバッテリーの充電ができます。
"
Lecran デジタルカメラ デジカメ 4400万画素 1080P動画撮影 オートフォーカス AF機能 HDカメラ 手ブレ補正 軽量 携帯便利 USB C充電 2.4インチIPS画面 32gメモリーカード付属 黒,ブランド: Lecran,"6,699",4.0,"1,424",1.71,"
【オートフォーカスカメラ】他のレンズがいらない、近い物もカンタンにピントを合わせる！最小限4cmまでの近接写真ができます！シャッターボタンを半押してフォーカスフレームは黄色から緑なると、押してok！初心者にも簡単にクリアな写真が撮影できます。
【4400万画素＆1080P解像度】Lecranデジタルカメラは4400万画素「7600*5800」の写真と1080P高解像度の動画をサポートします。手ブレ補正により、鮮明な写真やビデオを撮影して、エキサイティングで忘れられない瞬間を捉えることができます。このコンパクトデジカメは最大32GBのMicro SDカード「32g付属」がサポートします。ご注意：メモリーカードは使用する前、初期化するのは必要です。
【Vlog録画＆ウェブカメラ】動画モードと内蔵マイクを搭載し、最大1080Pな動画を録画できます。クリアな日常を記録しましょう。Webカメラとしても使用でき、ビデオ通話やライブ ストリームを行ったり、ソーシャル メディアで生活を共有したりできます。付属のUSB-Cケーブルはカメラからコンピューターへの写真とビデオの転送をサポートし、タイムリーな写真の収集と保存を行います。
【ポータブルで使いやすいカメラ】スマートフォンより小さいコンパクトなミニカメラは、ポケットやバックパックに収まるほど小さく、いつでもどこでも幸せな瞬間を捉えることができます。修学旅行、アウトドア、クリスマスプレゼントなどは最適です。人間工学に基づいたデザインかつ直感的な操作システムより、使い易くて初心者の学生もお年寄りも、誰でもすぐに使えます。
【多機能デジタルカメラ】LEDライト、手ブレ補正、連続撮影、顔検出、スマイルキャプチャー、セルフタイマー、内蔵マイク（音声動画の録音）、8種類の画像/動画フィルターを搭載します。このポータブル カメラを使用すると、最もエキサイティングで思い出に残る瞬間を高品質の写真やビデオで捉えることができます。この充電式デジタルカメラは、屋内/屋外で、友人、家族、クラスメートとの幸せな瞬間を記録するのは最適です。
"
KODAK (コダック) PIXPRO 使いやすい ズーム FZ55-RD 16MP デジタルカメラ 光学5倍ズーム 広角 28mm 2.7インチ液晶画面 (レッド),KODAK,"22,374",4.2,523,1.80,"
パワフルな16.1メガピクセルのCCDセンサーを搭載しているため、現実に近い鮮明度や品質のまま、納得のいくまで範囲を広げたり拡大したりトリミングしたりすることが可能です。
28mmの広角レンズでは、撮影位置をもっと後ろに変えなくても、さらに撮影範囲を広げたり、さらに被写体に焦点を当てたりすることができます。
パン撮りモードを使用すると、被写体が動いていても、被写体をはっきりと撮影することができます。多数の他のシーンモードでは、最適な設定にして、露出を上げてどのような状況でも素晴らしい写真を撮影することが可能です。
顔の検出や自動露出では、顔の特徴を検出して引き立て、実際通りの被写体を目立たせます。 瞬きや笑顔の検出では、瞬きや笑顔の瞬間を捉えることができます。
赤目除去を使って、すぐに写真を修正して変えることができます。 HDR(ハイダイナミックレンジ)修正ツールを使って、露出を調節して、明るいシーンでも暗いシーンでもさらに細かいものまで写し出すことができます。
"
Canon コンパクトデジタルカメラ IXY 650 ブラック 光学12倍ズーム/Wi-Fi対応 IXY650BK,キヤノン,"42,000",,605,4.19,"
光学12倍ズーム、高精細2,020万画素のCMOSセンサー搭載
フレーミングを調整するオートズーム機能を搭載
Wi-Fi NFCにも対応
"
